Cat,Sub,Dimension,Category,Subcategory,DEFINITION,,,,,,,,,,,,,,,,,,,,
6,0,Culture & Society,Social Relations,Social Relations,"Category 6 encompasses  all indicators that reference or discuss personal relations between two individuals or groups. This includes inter and intra group relationships, cross group (or community wide) activities, and indicators referencing group based identity in relation to other groups. This category is mostly used for indicators on the individual/1:1 level, but it also includes references to feelings held by individuals against other groups.",,,,,,,,,,,,,,,,,,,,
6,1,Culture & Society,Social Relations,Us V Them,Any indicators that deal with current feelings of antagonism towards members of a different group.,,,,,,,,,,,,,,,,,,,,
6,2,Culture & Society,Social Relations,Personal relationships,"Refers to indicators that discuss personal relationships between individuals. These can be romantic or business relationships, as well as friendships. It is however 1:1 or household level relationship and NOT on the group level.",,,,,,,,,,,,,,,,,,,,
6,3,Culture & Society,Social Relations,Social Trust,This sub-category is used for any indicators that deal with a community’s social fabric and the general level of trust between all community members.,,,,,,,,,,,,,,,,,,,,
6,4,Culture & Society,Social Relations,Activism,Any indicators that refer to activism or related activities that community members undertake in the community or wider city.,,,,,,,,,,,,,,,,,,,,
6,5,Culture & Society,Social Relations,Technology ,This sub-category refers to any indicators that discuss the impact of technology on inter-group relations. NOT included are private (single individual) usages of technology.,,,,,,,,,,,,,,,,,,,,
6,6,Culture & Society,Social Relations,Inter-generational Relations,Includes any interactions between members of different generations.,,,,,,,,,,,,,,,,,,,,
6,7,Culture & Society,Social Relations,Immigration,Any indicator discussing social media in reference to how it impacts the lives of community members and their relationships.,,,,,,,,,,,,,,,,,,,,
6,8,Culture & Society,Social Relations,Language,"Indicators related to language use (e.g. speaking, learning. or instruction), or to political policies and community practices regarding language. This can also include signage and other public use of language.",,,,,,,,,,,,,,,,,,,,
6,9,Culture & Society,Social Relations,Ethno-religious identity,Includes indicators that deal with the intersectionality between the ethnic and religious identity of local individuals and groups in relation to others,,,,,,,,,,,,,,,,,,,,
6,10,Culture & Society,Social Relations,Social Support,"This subcategory includes indicators that discuss community activities that are organized by individuals to support neighbors, family, friends, or community members. NOT included are activities planned and run by the government.",,,,,,,,,,,,,,,,,,,,
6,11,Culture & Society,Social Relations,Cooperation & Coexistence ,"Any indicator that refers to relationships as well as the level of, and ease of, interaction between two members of the local population.",,,,,,,,,,,,,,,,,,,,
6,12,Culture & Society,Social Relations,Neighbor Relations,,,,,,,,,,,,,,,,,,,,,
7,0,Dealing with the Past,Legacies of War,Legacies of War,"Indicators that address the physical destruction and other wartime effects, as well as reflections, perspectives, remembrances, and memorializing of the 1990s conflict and violence. This includes both personal as well as institutional or large-scale memory and memorialization efforts. This category includes both the desire to remember or to honor the memory of past experiences (such as through statues, ceremonies, remembrance days, etc.), as well as the need to educate the youth.",,,,,,,,,,,,,,,,,,,,
7,1,Dealing with the Past,Legacies of War,Memorialization,"This includes all indicators related to the remembering or memorializing of the conflict and violence. This includes both personal memories as well as institutional or group-level efforts. E.g., personal shrines, memorial plaques, monuments, museums, memorial celebrations to individuals or actions. These are all organized activities dealing with past events or people.",,,,,,,,,,,,,,,,,,,,
7,2,Dealing with the Past,Legacies of War,Returns,"References the equal application of laws, regulations, and the institutions or actors who enforce laws and regulations related to past actions during the war. This includes access to these institutions but NOT any laws or actions that took place in post-conflict Mostar.",,,,,,,,,,,,,,,,,,,,
7,3,Dealing with the Past,Legacies of War,Education ,Any formal or informal educational activities or efforts related to educating community members on actions taken or events from the war.,,,,,,,,,,,,,,,,,,,,
7,4,Dealing with the Past,Legacies of War,Truth Telling,"Similar to code 7.3 Education, this sub-category deals with efforts to increase and spread factual understanding of events related to the war. These can be conducted by community members, public officials, or international/national NGO’s.",,,,,,,,,,,,,,,,,,,,
7,5,Dealing with the Past,Legacies of War,Reconciliation,"Includes all indicators that relate directly to the process of transforming relationships between former enemies in which those who caused harm (perpetrators) acknowledge wrongdoing and offer a sincere apology, and those who were harmed (victims) let go of anger, resentment and the desire for revenge and offer forgiveness.",,,,,,,,,,,,,,,,,,,,
7,6,Dealing with the Past,Legacies of War,Intergroup,"Any indicators that reference wartime intergroup memories, hatreds, relationships.",,,,,,,,,,,,,,,,,,,,
7,7,Dealing with the Past,Legacies of War,Infrastructure,"This narrow sub-category refers specifically to any buildings or objects damaged in the war. These can be public, military, or privately owned buildings.",,,,,,,,,,,,,,,,,,,,
8,0,Culture & Society,Nationalism,Nationalism,"A category that covers indicators which deal with nationalism, individuals who perpetrate nationalist agendas through words or action, the effects of nationalism on communities, and all actions undertaken to deal with it and potentially reverse its negative effects.",,,,,,,,,,,,,,,,,,,,
8,1,Culture & Society,Nationalism,Effect,"This narrow category deals solely with indicators that refer to the effects of nationalism on individuals and the wider community. NOT included are any indicators that deal with the acts themselves, efforts to mitigate the effects, the individuals that carry out the actions.",,,,,,,,,,,,,,,,,,,,
8,2,Culture & Society,Nationalism,Punishment,"Any laws, sanctions, or crimes related to nationalism or related activities. Use this code even if the action occurred during a sporting event. It is important to isolate these indicators and create a clear category for them.",,,,,,,,,,,,,,,,,,,,
8,3,Culture & Society,Nationalism,Sports and hooliganism,"Indicators that discuss nationalistic activities that are undertaken during a sport game or activity, in/via a sports fan club, or by a sport player.",,,,,,,,,,,,,,,,,,,,
8,4,Culture & Society,Nationalism,Politics ,Refers specifically to any nationalistic actions undertaken by elected officials while in office or political parties. This subcategory does NOT include any indicators that reference nationalism or nationalistic actions of private citizens or community based groups.,,,,,,,,,,,,,,,,,,,,
8,5,Culture & Society,Nationalism,Political Symbols,"A narrow sub-category which includes only indicators that discuss flags. They can be national, ethnic, or foreign flags.",,,,,,,,,,,,,,,,,,,,
9,0,Rights & Dignity,Governance,Governance,"This broad category includes any indicators that mention or refer to politics, politicians, political parties, or other elected representatives. It also includes any activities undertaken by said political groups or individuals as part of their official or unofficial duties. This category does not include public functions, public services, or police.",,,,,,,,,,,,,,,,,,,,
9,1,Rights & Dignity,Governance,City politics,"This sub-category is for any city-wide political issues and activities, or by city government officials that have an impact on community politics, individual community members, or the community as a whole.",,,,,,,,,,,,,,,,,,,,
9,2,Rights & Dignity,Governance,Political accountability,References all public and private efforts to combat corruption. Also included are indicators that discuss how elected officials are meant to “work for” the public.,,,,,,,,,,,,,,,,,,,,
9,3,Rights & Dignity,Governance,Political functionality,"Includes all indicators that discuss the daily functioning, or lack thereof, of government services. NOT included are indicators dealing with corruption.",,,,,,,,,,,,,,,,,,,,
9,4,Rights & Dignity,Governance,Accessibility ,Accessibility of public authorities. But this subcategory only references the level of accessibility of publicly elected officials when operating within their official duties.,,,,,,,,,,,,,,,,,,,,
9,5,Rights & Dignity,Governance,Political coexistence,"Specifically, indicators that discuss the cooperation between two or more politicians or political groups.",,,,,,,,,,,,,,,,,,,,
9,6,Rights & Dignity,Governance,Mjesna zajednica,"All indicators that reference the Mjesna zajednica commissioner, his/her activities, potential corruption, interactions with community members, etc. Also included are indicators referencing appointing the commissioner.",,,,,,,,,,,,,,,,,,,,
9,7,Rights & Dignity,Governance,Citizens' associations,"Includes any indicators that involve the citizens’ associations in any way. This includes their formation, meetings, activities, leaders, interactions with local officials, etc.",,,,,,,,,,,,,,,,,,,,
9,8,Rights & Dignity,Governance,Access to public funds,"This sub-category references local officials’ ability to access public funds provided by state, national, and international government authorities for public projects. This does NOT include indicators referencing corruption and theft of public funds OR private access to public funds.",,,,,,,,,,,,,,,,,,,,
9,9,Rights & Dignity,Governance,Political parties,This subcategory is for indicators that mention the existence of political parties and an individuals' membership in a political party,,,,,,,,,,,,,,,,,,,,
10,0,Rights & Dignity,Social Programs / Social Services,Social Programs / Social Services,"This is a broad category that will include all indicators that mention public facing government programs and public services. Many, if not most, of these indicators will also be coded under other categories, such as Category 9: Government if the indicator is related to government funding or refers to individual political actors or Category 16: Drugs & Alcohol if the indicator is about public drug rehab or prevention programs.",,,,,,,,,,,,,,,,,,,,
10,1,Rights & Dignity,Social Programs / Social Services,Pensions,"All indicators referencing public pensions. This can include the access to, fairness of, or exclusion from said pensions. NOT included are indicators that discuss what individuals do with their pension funds once they are paid out by the government.",,,,,,,,,,,,,,,,,,,,
10,2,Rights & Dignity,Social Programs / Social Services,Unemployment,"Indicators that refer directly to drug rehab programs funded, planned, or run by the local, state, or national government within the community. NOT included are any indicators that reference private measures to address drug rehab programs.",,,,,,,,,,,,,,,,,,,,
10,3,Rights & Dignity,Social Programs / Social Services,Housing,Any indicator that refers to publicly supplied housing OR to public finds distributed as housing subsidies. NOT included are indicators referencing private housing that is not subsidized by the government.,,,,,,,,,,,,,,,,,,,,
10,4,Rights & Dignity,Social Programs / Social Services,Public information,"Refers to the provision of important information by the local or state government officials and bodies to citizens. (E.g., state tv, local municipal websites, posters, publicly accessible town council meetings)",,,,,,,,,,,,,,,,,,,,
10,5,Rights & Dignity,Social Programs / Social Services,Retirees,"This includes all indicators that revolve around publicly supplied accommodations for individuals with disabilities. (e.g., access ramps, elevators, daily centers, educational accommodations, etc.)",,,,,,,,,,,,,,,,,,,,
10,6,Rights & Dignity,Social Programs / Social Services,Public utilities,"All indicators that refer to or discuss the quality, provision, or lack of public utilities (e.g., power, internet, water, snow removal, etc.)",,,,,,,,,,,,,,,,,,,,
10,7,Rights & Dignity,Social Programs / Social Services,Animals,"Includes all indicators that refer to stray, domestic, or wild animals in public spaces. This includes government services aimed at helping or removing the animals. Additionally, any indicators that reference the animal’s health or interactions with community members should be included in this sub-category.",,,,,,,,,,,,,,,,,,,,
11,0,Culture & Society,Socializing,Socializing,"This category includes all indicators referring to instances when two or more people socialize together either in public or private settings. These can be organized events put on by the local government, NGO's, community associations, or simply spontaneous meetups between friends. Also included are indicators that discuss private relaxation by individuals, no matter where it occurs (in a park, in a home, etc.). Lastly, indicators that deal with any form of non-work social interaction between friends can be included.",,,,,,,,,,,,,,,,,,,,
11,1,Culture & Society,Socializing,Cafes and Space,"Indicators that discuss unofficial gatherings in local cafes or other gathering places, either 1:1 or groups. The important aspect is that they are unplanned gatherings.",,,,,,,,,,,,,,,,,,,,
11,2,Culture & Society,Socializing,Social,"This subcategory includes indicators that reference planned social events. The events can be located in public spaces, cafes, private homes, etc.",,,,,,,,,,,,,,,,,,,,
11,3,Culture & Society,Socializing,Individual Leisure,"A narrow sub-category that only includes indicators that discuss individual actions taken by private individuals alone during breaks or ""down time"".",,,,,,,,,,,,,,,,,,,,
11,4,Culture & Society,Socializing,Informal,Includes indicators that refer to unofficial social gatherings of community members. NOT included are indicators that reference Cafes.,,,,,,,,,,,,,,,,,,,,
12,0,Culture & Society,Sport,Sport,"Includes any indicators that discuss sports or games as a form of inter-group contact, routine social activity, or individual activity within the community. This also involves watching sport games live or remotely (eg. The word cup or a national level football game).",,,,,,,,,,,,,,,,,,,,
12,1,Culture & Society,Sport,Facilities,"Only indicators that refer specifically to physical equipment or locations where sport activities are held. This includes condition, maintenance, construction damage. This does NOT include accessibility.",,,,,,,,,,,,,,,,,,,,
12,2,Culture & Society,Sport,Public support for sport,"Indicators that revolve around government support (or lack thereof) for sport within the community. This can include police presence, funding, logistical support, etc.",,,,,,,,,,,,,,,,,,,,
12,3,Culture & Society,Sport,Activities,Any indicator that refers to the logistical and technical aspects of sport activities (e.g. football / basketball / hiking / etc.). Any indicators that refer to ethnicity and sport should be coded under 12.4 Inclusion.,,,,,,,,,,,,,,,,,,,,
12,4,Culture & Society,Sport,Inclusion,"Included are all indicators that discuss the levels of inclusion while play or watching sport, in a local gym, etc. E.g., indicators that refer to the ability of different ethnicity groups to participate in the same activity without conflict (physical or verbal) or harm (emotional or physical).",,,,,,,,,,,,,,,,,,,,
13,0,Culture & Society,Media,Media,"Indicators that deal with interactions and issues that arise between private individuals and larger groups with any type of media, including print, television, radio, movies, or social media. Includes both media institutions (newspapers, TV stations) and information that is shared or consumed via media.",,,,,,,,,,,,,,,,,,,,
13,1,Culture & Society,Media,Traditional,"Included are all indicators discussing private or state-owned media companies, their actions, and how they interact with individual private citizens, groups, or the entire community.",,,,,,,,,,,,,,,,,,,,
13,2,Culture & Society,Media,Online,"This sub-category refers to any online media produced by private citizens or groups of private citizens (e.g. blogs, social-media, etc.). NOT included are any media products (even online) produced by Media companies (both private or state owned).",,,,,,,,,,,,,,,,,,,,
14,0,Culture & Society,Religion,Religion,"Any indicators relating to the practice or institutions of religion within the city of Mostar. This category includes indicators referencing religious leaders and places of worship (temples, mosques, churches). It also includes the ability to conduct and participate in specific religious practices, such as praying or wearing religious attire. The category also includes any indicators that involve religious inter-community interactions.",,,,,,,,,,,,,,,,,,,,
14,1,Culture & Society,Religion,Religious education,"This sub-category is used to code any indicators that discuss formal or informal religious educational activities. These activities can be in a religious institution (church, mosque, temple, etc) or privately in a household or similar situation.",,,,,,,,,,,,,,,,,,,,
14,2,Culture & Society,Religion,Interfaith relations,A very narrow subcategory of indicators that refer to activities or incidents where two or more individuals or groups of different religious faiths interact with each other during a religious activity. ,,,,,,,,,,,,,,,,,,,,
14,3,Culture & Society,Religion,Religious beliefs and practices,Any indicator that deals directly with the holding or practicing of religious beliefs by either an individual or groups from within or outside of the community.,,,,,,,,,,,,,,,,,,,,
14,4,Culture & Society,Religion,Religious buildings,"A narrow sub-category of indicators that only refer to the location, construction, maintenance, or condition of physical religious buildings within the community.",,,,,,,,,,,,,,,,,,,,
15,0,Culture & Society,Youth,Youth,Any indicators directly involving children or youth (under age 24 years old) as a group or individually. This does not include indicators related to education unless there are direct references to youth.,,,,,,,,,,,,,,,,,,,,
15,1,Culture & Society,Youth,Engagement,Any indicator that refers to activities (both formal and informal) with the goal to increase constructive youth engagement and involvement within the community.,,,,,,,,,,,,,,,,,,,,
15,2,Culture & Society,Youth,Infrastructure,This refers to the social and community structures that are in place to support local youth.,,,,,,,,,,,,,,,,,,,,
15,3,Culture & Society,Youth,Parenting,"This sub-category is for any indicator that references the maintenance, improvements, or damages to the health and quality of life for local youth.",,,,,,,,,,,,,,,,,,,,
15,4,Culture & Society,Youth,Livelihoods,Any indicator that deals with any income generating activities that youth participate in. This includes formal youth employment opportunities and informal small-scale activities.,,,,,,,,,,,,,,,,,,,,
15,5,Culture & Society,Youth,Inclusion,"Any indicator that deals with increased cooperation and interactions between youth from different ethnicities, groups, ages, religions, etc.",,,,,,,,,,,,,,,,,,,,
16,0,Rights & Dignity,Drugs & Alcohol,Drugs & Alcohol,"Indicators that deal with the usage, prevention, and aftermath of illicit drug and alcohol usage within the community as well as by outsiders who enter the community. ",,,,,,,,,,,,,,,,,,,,
16,1,Rights & Dignity,Drugs & Alcohol,Prevention,"Indicators that discuss any proactive measures (public or private) aimed at preventing or limiting the production, usage, movement, or sale of illicit drugs and alcohol. This could include policing, trainings, passage of laws, etc.",,,,,,,,,,,,,,,,,,,,
16,2,Rights & Dignity,Drugs & Alcohol,Policing,"This sub-category refers to any formal (police, government, citizens group, or NGO) and informal (private/family) efforts to stop the illicit production, movement, sale, or usage of drugs and alcohol within the community.",,,,,,,,,,,,,,,,,,,,
16,3,Rights & Dignity,Drugs & Alcohol,Rehabilitation,Refers to indicators dealing with formal and informal efforts at drug and alcohol rehabilitation of community members.,,,,,,,,,,,,,,,,,,,,
16,4,Rights & Dignity,Drugs & Alcohol,Usage,,,,,,,,,,,,,,,,,,,,,
16,5,Rights & Dignity,Drugs & Alcohol,Drug rehab,,,,,,,,,,,,,,,,,,,,,
17,0,Economic Activity & Livelihoods,Infrastructure,Infrastructure,"This category will include all indicators that refer to the construction of, use of, or changes to, infrastructure. Including, but not limited to the building, maintaining, or damaging of buildings, bridges, parks, and roads.",,,,,,,,,,,,,,,,,,,,
17,1,Economic Activity & Livelihoods,Infrastructure,Roads,"This refers to the use of and construction & maintenance of or any damages to roads, paths, or signs within the community.",,,,,,,,,,,,,,,,,,,,
17,2,Economic Activity & Livelihoods,Infrastructure,Public Spaces ,"This refers to the use of and construction & maintenance of or any damages to public spaces. Including parks, houses of culture, government buildings, and utility facilities.",,,,,,,,,,,,,,,,,,,,
17,3,Economic Activity & Livelihoods,Infrastructure,Public Lighting,"Any indicators that discuss the existence, maintenance, or condition of public lighting on roads, walking paths, or on public buildings.",,,,,,,,,,,,,,,,,,,,
17,4,Economic Activity & Livelihoods,Infrastructure,Buildings,"Use this sub-category to code any indicators that specifically refer to the construction, maintenance, or condition of public buildings. It is NOT for indicators that discuss the usage of these buildings. ",,,,,,,,,,,,,,,,,,,,
17,5,Economic Activity & Livelihoods,Infrastructure,Property Ownership (Land),"Indicators that mention or relate to the current and historical ownership or possession of land. This should include the acquisition or displacement from land, land ownership, land occupation, land release or restitution, resettlement, and housing. ‘Housing’ includes references to owning a house, and not including housing assistance, quality of housing, or access to housing.",,,,,,,,,,,,,,,,,,,,
17,6,Economic Activity & Livelihoods,Infrastructure,Water/agriculture,,,,,,,,,,,,,,,,,,,,,
18,0,Rights & Dignity,Environment,Environment,"Any indicators that refers to or mentions the environment. This includes, but is not limited to: pollution, littering, public or private projects that focus on environmental projects, and any authorities responsible for maintaining environmental integrity.",,,,,,,,,,,,,,,,,,,,
18,1,Rights & Dignity,Environment,Waste management Services,"This sub-category refers to public waste collection & management activities, water purification, and the management of these operations.",,,,,,,,,,,,,,,,,,,,
18,2,Rights & Dignity,Environment,Waste prevention,"This refers to both public and private efforts to stop or prevent the degradation of or damage to the local environment (both land and water natural resources) by individuals, groups, or companies.",,,,,,,,,,,,,,,,,,,,
18,3,Rights & Dignity,Environment,Environmental Restoration,"Any indicators that refers to public or private efforts to clean, revitalize, or restore the local environment (both land and water natural resources).",,,,,,,,,,,,,,,,,,,,
19,0,Rights & Dignity,Education,Education,"This category includes all indicators that mention the existence, quality and general use of education, primary schools, literacy, training, and higher education in the entire city of Mostar. Many of these indicators will also be coded under other categories. For example: Category 15: Youth if the indicator falls into the wider lives of local youth, or Category 22: Gender if the indicator relates to any female based educational activities.",,,,,,,,,,,,,,,,,,,,
19,1,Rights & Dignity,Education,Technical schools,"Any indicator that specifically references vocational, or non-traditional, school activities or institutions.",,,,,,,,,,,,,,,,,,,,
19,2,Rights & Dignity,Education,Non-school based education,This sub-category includes all community level non-formal educational activities outside of school.,,,,,,,,,,,,,,,,,,,,
19,3,Rights & Dignity,Education,School inclusivness,"Refers to indicators addressing the level of diversity, inclusiveness, and integration in school. This includes all students, faculty, and staff.",,,,,,,,,,,,,,,,,,,,
19,4,Rights & Dignity,Education,Student activities,Indicators that discuss activities in and out of the classroom that were planned by the school for the benefit of the students.,,,,,,,,,,,,,,,,,,,,
19,5,Rights & Dignity,Education,Family-based Education,"Any indicators that refer to non-formal, family-based education, within the home.",,,,,,,,,,,,,,,,,,,,
19,6,Rights & Dignity,Education,School Behavior,,,,,,,,,,,,,,,,,,,,,
20,0,Economic Activity & Livelihoods,Business,Business,"All indicators related to formal private business issues. This includes business operations, integrated employment, the reliability of business services, and the level of integration within businesses, etc. Also included in this category are indicators that reference any informal income generating activities. This category does not include any indicators for public funds or activities conducted by public bodies.",,,,,,,,,,,,,,,,,,,,
20,1,Economic Activity & Livelihoods,Business,Inclusivity,Indicators that refer to the acceptance of a diverse clientele and how comfortable members of different groups feel in patronizing a business.,,,,,,,,,,,,,,,,,,,,
20,2,Economic Activity & Livelihoods,Business,Hiring & employment,"Indicators that deal with the staff management, hiring policies, trainings, and general employment.",,,,,,,,,,,,,,,,,,,,
20,3,Economic Activity & Livelihoods,Business,Worker’s protection and rights,This sub-category includes indicators that are only related to the operations of large businesses that are not headquartered in the community.,,,,,,,,,,,,,,,,,,,,
20,4,Economic Activity & Livelihoods,Business,Tourism,Indicators that discuss trends in ownership of small businesses.,,,,,,,,,,,,,,,,,,,,
20,5,Economic Activity & Livelihoods,Business,Youth employment,Any indicators that discuss youth involvement in income generating activities.,,,,,,,,,,,,,,,,,,,,
20,6,Economic Activity & Livelihoods,Business,Small businesses,"Indicators related to the starting or operating of small-scale businesses (e.g. individual traders, small shops, etc). Indicators should only be coded with this sub-category if they reference an economic aspect said small businesses.",,,,,,,,,,,,,,,,,,,,
20,7,Economic Activity & Livelihoods,Business,Migration,This only includes indicators that discuss the truth telling or lies and the safety of doing business within the community.,,,,,,,,,,,,,,,,,,,,
20,8,Economic Activity & Livelihoods,Business,Livelihoods,Indicators that discuss a household or individual’s financial security as a result of labor.,,,,,,,,,,,,,,,,,,,,
20,9,Economic Activity & Livelihoods,Business,Tourism,"Indicators that reference the tourism industry as a source of economic development, growth, or income source as well as the industry as a sign of greater interaction or social relationships between communities.",,,,,,,,,,,,,,,,,,,,
21,0,Culture & Society,Motor Vehicles ,Motor Vehicles ,"This category includes any indicators that refer to the ownership, maintenance, operation, and legislation of privately and publicly owned vehicles. Also included are indicators that discus the importance of motor vehicles to the health, living conditions, etc of the community.",,,,,,,,,,,,,,,,,,,,
21,1,Culture & Society,Motor Vehicles ,Parking,"Indicators that deal with the location, quantity, usage, creation, price, etc. of public parking spaces within the community.",,,,,,,,,,,,,,,,,,,,
21,2,Culture & Society,Motor Vehicles ,Traffic,"Included are indicators that discuss traffic laws and traffic police as well as any reference of motor vehicles when not on private property (such as driveways, signage, etc).",,,,,,,,,,,,,,,,,,,,
21,3,Culture & Society,Motor Vehicles ,Pedestrian Safety,This subcategory includes indicators that reference pedestrian safety. This is meant to only include indicators that specifically reference pedestrians and NOT general motor safety.,,,,,,,,,,,,,,,,,,,,
21,4,Culture & Society,Motor Vehicles ,Public transport,"Any indicators that reference the availability, quality, and usage of public transport. This includes any form of transport run by the city or state government such as city bus lines and trains.",,,,,,,,,,,,,,,,,,,,
22,0,Culture & Society,Gender,Gender,"Any indicators that mention or relate to gender, including gender equality, relationships, and various types of gender-based violence both structurally and individually.",,,,,,,,,,,,,,,,,,,,
22,1,Culture & Society,Gender,Gender norms,Indicators that reference individual or group wide ideas of how men and women should act and what they should or should not do.,,,,,,,,,,,,,,,,,,,,
