#,Indikator BHS,Indicator English,F,M,Y,T,Code 1,Code 2,Subcategory 1,Category 1,Dimension 1,Subcategory 2,Category 2,Dimension 2
102,Šaht na cesti u Zaliku ne ugrožava mala auta.,Manholes on the street in Zalik don't endanger smaller cars.,2.0,2.0,2.0,6,17.1,21.0,Roads,Infrastructure,Economic Activity & Livelihoods,Motor Vehicles ,Motor Vehicles ,Culture & Society
103,Na izlazu gdje se skreće na magistralu je stavljena rešetka koja kupi vodu pa ljudi mogu sići kad pada kiša.,"At the exit of Zalik where one turns towards the highway, a lattice is placed which gathers all the water so people come down when it's raining.",,1.0,5.0,6,17.1,21.3,Roads,Infrastructure,Economic Activity & Livelihoods,Pedestrian Safety,Motor Vehicles ,Culture & Society
104,Djeca vrtićkog uzrasta se ne ponašaju nasilno.,Kindergarten kids don't behave violently.,1.0,,5.0,6,15.0,19.6,Youth,Youth,Culture & Society,School Behavior,Education,Rights & Dignity
105,Roditelji uče djecu šta je dobro i šta nije dobro prije nego što napune 18 godina.,Parents teach their kids right from wrong before they turn 18 years old.,2.0,,4.0,6,19.5,15.0,Family-based Education,Education,Rights & Dignity,Youth,Youth,Culture & Society
106,Ljudi u Mostaru ne čuju riječ “rat” svaki dan na vijestima.,"People in Mostar don't hear the word ""war"" every day on the news.",4.0,,2.0,6,7.0,13.1,Legacies of War,Legacies of War,Dealing with the Past,Traditional,Media,Culture & Society
107,Internet nasilje nije prisutno u vrtićkoj dobi.,Internet violence/cyber bulling is not present in the kindergarten age.,3.0,2.0,1.0,6,19.6,6.5,School Behavior,Education,Rights & Dignity,Technology ,Social Relations,Culture & Society
108,Vozači ne voze prebrzo od Megamarketa do zgrade broj 6.,Drivers don't drive too fast on the route between Megamarket and building number 6,2.0,1.0,3.0,6,21.2,3.1,Traffic,Motor Vehicles ,Culture & Society,Open Spaces,Public space,Culture & Society
109,Djeca mogu ići u vrtić bezbjedno.,Kids can safely go to the kindergarten.,2.0,1.0,3.0,6,2.0,19.0,Tranquility/security ,Tranquility/security ,Security,Education,Education,Rights & Dignity
123,Željezničko naselje je mirno mjesto.,Željezničko naselje (Neighborhood around the railway track) is a peaceful place.,2.0,1.0,2.0,5,2.0,3.0,Tranquility/security ,Tranquility/security ,Security,Public space,Public space,Culture & Society
124,Vozači se ne parkiraju ispred ulaza u zgradu.,Drivers don't park in front of the entrances of buildings.,,3.0,2.0,5,21.1,,Parking,Motor Vehicles ,Culture & Society,,,
125,Više se ne priča da su djeca zadojena mržnjom zbog nečega što se desilo prije nego što su njihovi roditelji bili rođeni.,It is no longer spoken about that children are infested with hatred because of something that happened before their parents were born.,,,5.0,5,7.5,15.5,Reconciliation,Legacies of War,Dealing with the Past,Inclusion,Youth,Culture & Society
126,"Teta u vrtiću „Sportić“ blizu Merkatora ne kaže mami Bošnjakinji koja želi da upiše svoje dijete tu, da će njena curica morati bojiti Hrvatsku zastavu.","The worker at kindergarten ""Sportić"" near shopping mall Merkator doesn't say to a Bosniak mother, who wants to sign up their kid to go there, that her little girl will have to color in a Croatian flag.",,,5.0,5,19.3,8.5,School inclusivness,Education,Rights & Dignity,Political Symbols,Nationalism,Culture & Society
127,U Mostaru nema sukoba na nacionalnoj osnovi.,In Mostar there are no conflicts based on nationality.,2.0,2.0,1.0,5,6.1,4.4,Us V Them,Social Relations,Culture & Society,Violent Crime,Criminality and Legal Enforcement,Rights & Dignity
128,Postavljene su kamere u Zaliku koje osiguravaju da vozači poštuju propise.,Cameras were installed around Zalik which make sure that the drivers are following the rules.,2.0,2.0,1.0,5,2.4,21.2,Technology,Tranquility/security ,Security,Traffic,Motor Vehicles ,Culture & Society
129,Ljudi koji žive na Strelištu imaju kanalizaciju.,People who live at Strelište (Shooting range) have sewage.,3.0,1.0,1.0,5,10.6,17.0,Public utilities,Social Programs / Social Services,Rights & Dignity,Infrastructure,Infrastructure,Economic Activity & Livelihoods
130,Kontejneri u Gornjem Zaliku ne predstavljaju izvor zaraze.,The trash cans in Gornji Zalik (Upper Zalik) aren't a source of any infections.,2.0,2.0,1.0,5,10.6,18.1,Public utilities,Social Programs / Social Services,Rights & Dignity,Waste management Services,Environment,Rights & Dignity
131,Ljudi koji žive u Gornjem Zaliku su zadovoljni što se njihovo smeće odvozi 2 puta sedmično.,People who live in Gornji Zalik (Upper Zalik) are pleased that their trash is being picked up twice a week.,,2.0,3.0,5,10.6,18.1,Public utilities,Social Programs / Social Services,Rights & Dignity,Waste management Services,Environment,Rights & Dignity
132,"Čovjek nije poginuo u ruševini u Mostaru prije par dana, jer su ruševine uklonjene.",A man didn't die in the ruins of a building in Mostar a few days ago because the building ruins were removed,2.0,,3.0,5,7.7,2.1,Infrastructure,Legacies of War,Dealing with the Past,Sense of safety,Tranquility/security ,Security
133,MZ Zalik organizuje redovne sastanke sa stanovništvom.,The MZ Zalik organizes regular meetings with the residents.,,4.0,1.0,5,9.6,,Mjesna zajednica,Governance,Rights & Dignity,,,
134,Gradska uprava realizuje prijedloge koje daju stanovnici MZ Zalik.,The City Administration implements the proposals given by the residents of the MZ Zalik.,1.0,3.0,1.0,5,9.6,9.3,Mjesna zajednica,Governance,Rights & Dignity,Political functionality,Governance,Rights & Dignity
135,"Štićenik Doma za nezbrinutu djecu može na vrijeme da ode na operaciju, jer mu je Centra za socijalni rad izdao zdravstvenu knjižicu.","The protege of the Home for Orphans can go for surgery on time, because the Center for Social Work issued him health insurance.",5.0,,,5,23.2,9.3,Medical services,Health,Rights & Dignity,Political functionality,Governance,Rights & Dignity
136,Ljudima koji nas vode je u interesu da se smiri politička situacija u Mostaru.,It is in the interest of the people leading us that the political situation in Mostar calms down.,3.0,2.0,,5,9.5,9.3,Political coexistence,Governance,Rights & Dignity,Political functionality,Governance,Rights & Dignity
137,"Na Starom Veležovom nije ispisan grafit ""Ti si prvak šugave države"".","The graffiti ""You are the champion of the miserable country"" is not written at Stari Veležov.",,1.0,4.0,5,4.1,6.1,Sport & Hooliganism,Criminality and Legal Enforcement,Rights & Dignity,Us V Them,Social Relations,Culture & Society
138,U vrtiću ne postoji vršnjačko nasilje.,Peer violence does not exist in kindergarten.,2.0,1.0,2.0,5,19.6,15.0,School Behavior,Education,Rights & Dignity,Youth,Youth,Culture & Society
139,Ljudi u Mostaru ne čitaju riječ “rat” svaki dan na društvenim mrežama.,"People in Mostar do not read the word ""war"" every day on social media.",,2.0,3.0,5,7.0,6.5,Legacies of War,Legacies of War,Dealing with the Past,Technology ,Social Relations,Culture & Society
140,U Zaliku nema buke.,There is no loud noise in Zalik,,4.0,1.0,5,3.0,2.0,Public space,Public space,Culture & Society,Tranquility/security ,Tranquility/security ,Security
155,"Osjećamo da je cijeli grad naš, a ne do jedne tačke jeste, a od te tačke više nije.","We feel that the whole city is ours, not that from one point it is, but from that point on, it isn't.",1.0,1.0,2.0,4,3.2,1.3,Public Ownership,Public space,Culture & Society,Social,Integration and acceptance,Culture & Society
156,Momak koji se zove Adi ne misli da je kul ako se potuče sa momkom jer se zove Marko.,A boy named Adi doesn't think he is cool if he gets into a fight with a boy named Marko.,,1.0,3.0,4,6.1,15.5,Us V Them,Social Relations,Culture & Society,Inclusion,Youth,Culture & Society
157,Ni ja niti moje prijateljice nismo odgojene da razdvajamo ljude po nacionalnosti.,Neither I nor my friends were raised to separate people by nationality.,,,4.0,4,6.1,15.5,Us V Them,Social Relations,Culture & Society,Inclusion,Youth,Culture & Society
158,Ljudi u Zaliku imaju dobre odnose s komšijom.,People in Zalik have good relations with their neighbors.,1.0,1.0,2.0,4,6.1,,Us V Them,Social Relations,Culture & Society,,,
159,"Hitna može doći do bolesnika u Zaliku, jer mu komšija nije parkirao auto ispred ulaza u kuću.","The emergency ambulance can come to the patient in Zalik, because his neighbor didn't park his car in front of the entrance of his (the patient's) house.",1.0,1.0,2.0,4,6.1,21.1,Us V Them,Social Relations,Culture & Society,Parking,Motor Vehicles ,Culture & Society
160,Megamarket daje popust 10% penzionerima svakog 10. u mjesecu.,Megamarket gives a 10% discount to retirees on the 10th of every month.,,,4.0,4,20.0,6.1,Business,Business,Economic Activity & Livelihoods,Us V Them,Social Relations,Culture & Society
161,Učenici Bošnjaci i Hrvati iz Mašinske škole ne čekaju jedni druge da se pobiju.,"Bosniak and Croatian students, who go to the High School of Mechanical Engineering, don't wait for each other to fight.",2.0,1.0,1.0,4,19.6,19.3,School Behavior,Education,Rights & Dignity,School inclusivness,Education,Rights & Dignity
162,"Djetetu u prvom osnovne mama neće reći “Srbi su ovakvi, Hrvati su onakvi, ti biraj samo svoje.”","A mother won't tell her child in first grade, ""Serbs are like this, Croatians are like this, you choose only 'your people.'""",2.0,1.0,1.0,4,16.5,6.1,Drug rehab,Drugs & Alcohol,Rights & Dignity,Us V Them,Social Relations,Culture & Society
163,Žena iz Zalika bez problema ide pješke u bolnicu na Bijeli brijeg.,"A woman from Zalik goes, without problem, on foot to the hospital on Bijeli Brijeg.",1.0,2.0,1.0,4,2.3,22.3,Movement,Tranquility/security ,Security,Safety and comfort,Gender,Culture & Society
164,"MZ Zalik služi kao primjer drugima, jer u njoj nema međunacionalne netrpeljivosti.","The MZ Zalik serves as an example to others, because there is no interethnic intolerance in it.",,2.0,2.0,4,6.9,6.3,Ethno-religious identity,Social Relations,Culture & Society,Social Trust,Social Relations,Culture & Society
165,Ljudima ne trebaju ribarske čizme da pređu preko magistrale u Zaliku kada pada kiša.,People don't need fisherman boots to cross the highway in Zalik when it rains.,1.0,,3.0,4,17.1,10.6,Roads,Infrastructure,Economic Activity & Livelihoods,Public utilities,Social Programs / Social Services,Rights & Dignity
166,"Roditelji maloljetnih navijača, koji prave nerede, se sankcionišu.","Parents of underaged fans, who start riots, are sanctioned.",3.0,,1.0,4,4.1,9.3,Sport & Hooliganism,Criminality and Legal Enforcement,Rights & Dignity,Political functionality,Governance,Rights & Dignity
167,U Mostaru navijače jednog kluba ne napdaju navijači suprotnog kluba .,"In Mostar, fans of one club are not attacked by fans of the opposite club.",1.0,,3.0,4,4.1,6.1,Sport & Hooliganism,Criminality and Legal Enforcement,Rights & Dignity,Us V Them,Social Relations,Culture & Society
168,Djevojka koja živi u Zaliku studira na zapadnoj strani grada.,A girl who lives in Zalik goes to school on the west side of the city.,,1.0,3.0,4,19.3,6.9,School inclusivness,Education,Rights & Dignity,Ethno-religious identity,Social Relations,Culture & Society
169,Studenti sa istočne strane poznaju studente sa zapadne strane.,Students from the east side know students from the west side.,,,4.0,4,15.5,19.0,Inclusion,Youth,Culture & Society,Education,Education,Rights & Dignity
170,"Zimski bazar se organizuje redovno, a ne samo kad se Mostar kandiduje za Prijestolnicu kulture.","The winter market is organized often, not just when Mostar is running for the Capital of Culture.",2.0,,2.0,4,19.4,9.1,Student activities,Education,Rights & Dignity,City politics,Governance,Rights & Dignity
171,Vozači poštuju pješačke prelaze.,Drivers respect the pedestrian crossings.,2.0,,2.0,4,21.2,21.3,Traffic,Motor Vehicles ,Culture & Society,Pedestrian Safety,Motor Vehicles ,Culture & Society
172,U Zaliku nema svađa.,In Zalik there are no arguments,1.0,3.0,,4,2.0,6.0,Tranquility/security ,Tranquility/security ,Security,Social Relations,Social Relations,Culture & Society
173,U Zaliku nema osoba koje su opasne po druge.,There are no people in Zalik who are dangerous to others.,1.0,,3.0,4,2.0,4.0,Tranquility/security ,Tranquility/security ,Security,Criminality and Legal Enforcement,Criminality and Legal Enforcement,Rights & Dignity
174,Migranti ne provaljuju ljudima u stanove u Zaliku.,Immigrants don't break into flats in Zalik.,1.0,3.0,,4,4.3,6.7,Non-violent Crime,Criminality and Legal Enforcement,Rights & Dignity,Immigration,Social Relations,Culture & Society
175,"Žena se osjeća sigurno da šeta sama s djetetom po mraku, jer nema migranata u Zaliku.",A woman feels safe to walk alone with her child at night because there are no immigrants in Zalik.,2.0,1.0,1.0,4,22.3,6.7,Safety and comfort,Gender,Culture & Society,Immigration,Social Relations,Culture & Society
196,Žene sa istočne strane su upoznale neke žene sa zapadne strane.,Women from the east side have met some women from the west side.,2.0,,1.0,3,22.0,1.3,Gender,Gender,Culture & Society,Social,Integration and acceptance,Culture & Society
197,Ljudi koji žive na lijevoj strani idu na desnu i obratno.,People who live on the east side go to the west one and vice versa.,,1.0,2.0,3,2.3,,Movement,Tranquility/security ,Security,,,
198,"Razgovori stanovnika, kao ova fokus grupa, pomažu rješavanju problema u zajednici.","Conversations between citizens, like this focus group, help solve problems in the community.",1.0,,2.0,3,9.7,11.2,Citizens' associations,Governance,Rights & Dignity,Social,Socializing,Culture & Society
199,Mali s Luke nije otpušten sa posla u hrvatskoj firmi jer je navijač Veleža.,A kid from Luka (neighborhood) wasn't fired from his job in a Croatian company because he is a fan of the football club Velež.,,1.0,2.0,3,6.1,20.1,Us V Them,Social Relations,Culture & Society,Inclusivity,Business,Economic Activity & Livelihoods
200,"Huligani Zrinjskog ne prijete da će uništiti firmu, ako vlasnik Hrvat ne otpusti momka koji je navijač Veleža.",Zrinjski's hooligans are not threatening to destroy the company if the Croat owner doesn't fire the guy who is a Velež fan.,,,3.0,3,4.1,20.1,Sport & Hooliganism,Criminality and Legal Enforcement,Rights & Dignity,Inclusivity,Business,Economic Activity & Livelihoods
201,Policija ne dolazi do pekare Sunce zbog tuče između djece sa istočne i zapadne strane.,Police don't come to Bakery Sunce (Sun) because of the fights between kids from the east and west side.,1.0,1.0,1.0,3,4.4,5.2,Violent Crime,Criminality and Legal Enforcement,Rights & Dignity,Interactions ,Police,Armed Actors
202,Bošnjačko dijete koje ide u vrtiću „Sportić“ blizu Merkatora ne mora da tamo jede svinjetinu.,"The Bosniak child who goes to the kindergarten ""Sportić"" near Merkator does not need to eat pork there.",1.0,1.0,1.0,3,19.3,14.3,School inclusivness,Education,Rights & Dignity,Religious beliefs and practices,Religion,Culture & Society
203,Žena iz Zalika se osjeća isto i na lijevoj i na desnoj strani.,A woman from Zalik feels the same on the left side and the right side (of the city).,1.0,1.0,1.0,3,22.3,2.2,Safety and comfort,Gender,Culture & Society,Confidence,Tranquility/security ,Security
204,Žena iz Zalika ne dijeli Mostar na strane.,A woman from Zalik doesn't divide Mostar into sides.,,2.0,1.0,3,1.3,6.1,Social,Integration and acceptance,Culture & Society,Us V Them,Social Relations,Culture & Society
205,Ne gledate zastave druge države u svojoj državi,You don't see flags of another country in your own country.,2.0,,1.0,3,8.5,9.1,Political Symbols,Nationalism,Culture & Society,City politics,Governance,Rights & Dignity
206,U Zaliku ima dovoljno ležećih policajaca.,In Zalik there are enough speed bumps.,,3.0,,3,21.2,21.3,Traffic,Motor Vehicles ,Culture & Society,Pedestrian Safety,Motor Vehicles ,Culture & Society
207,Ispred ambulante u Zaliku ima dovoljno parking mjesta za sve pacijente.,In front of the infirmary in Zalik there are enough parking spots for all patients.,2.0,,1.0,3,23.2,21.1,Medical services,Health,Rights & Dignity,Parking,Motor Vehicles ,Culture & Society
208,U kontejner u Gornjem Zaliku se tokom vjerskih praznika ne bacaju životinjske iznutrice.,"During religious holidays, animal intestines aren't being thrown in the trash can in Gornji Zalik (Upper Zalik).",2.0,1.0,,3,14.3,18.2,Religious beliefs and practices,Religion,Culture & Society,Waste prevention,Environment,Rights & Dignity
