#,Indikator BHS,Indicator English,F,M,Y,T,Code 1,Code 2,Subcategory 1,Category 1,Dimension 1,Subcategory 2,Category 2,Dimension 2
151,"Ljudi u Mostaru ne čekaju da im netko očisti snijeg, nego se oni sami odmah okupe.","People in Mostar don't wait for someone to clear the snow, but they gather themselves right away",,1.0,1.0,2,3.2,3.2,Public Ownership,Public space,Culture & Society,Public Ownership,Public space,Culture & Society
152,"Ako dijete ispred škole u Cimu baci otpadak, roditelj mu kaže da se vrati, pokupi to i baci u obližnju kantu.","If a kid litters in front of the school in Cim, a parent tells him to go back and pick it up and throw it into the nearest [trash] can.",,2.0,,2,19.5,18.2,Family-based Education,Education,Rights & Dignity,Waste prevention,Environment,Rights & Dignity
153,Momak tijekom izolacije nije morao ići u školu.,A guy didn't have to go to school during isolation,,2.0,,2,19.0,,Education,Education,Rights & Dignity,,,
154,Žena iz Cima više ne pokušava da se svidi prijateljicama koje imaju negativnu vibru.,A woman from Cim no longer tries to please her friends who have a negative vibe.,2.0,,,2,22.1,1.1,Gender norms,Gender,Culture & Society,Personal value,Integration and acceptance,Culture & Society
155,"Žena sama pije kavu, jer joj ne treba nitko.",A woman drinks coffee alone because she doesn't need anyone.,,2.0,,2,11.3,22.0,Individual Leisure,Socializing,Culture & Society,Gender,Gender,Culture & Society
156,Žena svaki dan šeta 1 sat u Cimu.,A woman walks every day for 1 hour in Cim.,1.0,1.0,,2,11.3,22.0,Individual Leisure,Socializing,Culture & Society,Gender,Gender,Culture & Society
157,"Ženi iz Cima, koja je došla u Socijalno na istočnoj strani neposredno nakon rata, nitko nije rekao „Gdje ti je sad Franjo Tuđman?“.","A woman from Cim who came to the Social security department on the east side right after the war wasn't told ""Where is your Franjo Tuđman now?""",,2.0,,2,6.1,7.6,Us V Them,Social Relations,Culture & Society,Intergroup,Legacies of War,Dealing with the Past
158,Najbolja prijateljica djevojke iz Cima je Srpkinja.,The best friend of a girl from Cim is a Serb.,2.0,,,2,6.2,6.9,Personal relationships,Social Relations,Culture & Society,Ethno-religious identity,Social Relations,Culture & Society
159,"U Cimu nema verbalnih sukoba na nacionalnoj osnovi, jer je jednonacionalna zajednica.",There are no verbal conflicts based on nationality in Cim because it's a mono-national community.,1.0,1.0,,2,6.9,6.3,Ethno-religious identity,Social Relations,Culture & Society,Social Trust,Social Relations,Culture & Society
160,U cijelom Cimu je napravljena kanalizacija.,There is a system of drainage built throughout Cim,2.0,,,2,17.0,,Infrastructure,Infrastructure,Economic Activity & Livelihoods,,,
161,"Ljudi u Mostaru ne traže da se parkiraju 3 m dalje od odredišta, nego im je uredu da se parkiraju u krugu od 500 m.",People from Mostar don't ask to park 3 m from their destination but they find it ok to park in a circle of 500m [from their destination].,,1.0,1.0,2,21.1,,Parking,Motor Vehicles ,Culture & Society,,,
162,"Pacijenti se uredno parkiraju na veliki parking iza Bolnice, jer im nije mrsko hodati 200 m.",Patients park in an orderly way at the big parking behind the hospital because they don't find it obnoxious to walk 200m.,1.0,1.0,,2,21.1,,Parking,Motor Vehicles ,Culture & Society,,,
163,"Škola u Cimu ima manje učenika, pa im se učitelji i nastavnici mogu bolje posvetiti.",The school in Cim has fewer students so their teachers can give them more attention,1.0,1.0,,2,19.0,15.0,Education,Education,Rights & Dignity,Youth,Youth,Culture & Society
164,"Pješaci se ne boje preći preko ceste, jer vozači ne voze brzo kroz Cim.",Pedestrians aren't afraid to cross the street because drivers don't drive fast through Cim,2.0,,,2,21.2,21.3,Traffic,Motor Vehicles ,Culture & Society,Pedestrian Safety,Motor Vehicles ,Culture & Society
165,"Ne postoji lopovluk u MZ Cim, jer su ""lokalni lopovi"" u zatvoru.","There's no thievery in MZ Cim because ""the local thiefs"" are in prison.",1.0,,1.0,2,4.2,9.6,Corruption ,Criminality and Legal Enforcement,Rights & Dignity,Mjesna zajednica,Governance,Rights & Dignity
166,Barem jedan član iz svake obitelji u Mostaru ima državni posao.,There's at least one member of every family in Mostar who has a state [public sector] job.,1.0,,1.0,2,20.8,20.2,Livelihoods,Business,Economic Activity & Livelihoods,Hiring & employment,Business,Economic Activity & Livelihoods
167,"Kćerka žene iz Cima, koja je magistrirala pravo 2013. godine, je zaposlena.","A daughter of a woman from Cim, who graduated with a degree in law in 2013 has a job",2.0,,,2,20.8,20.5,Livelihoods,Business,Economic Activity & Livelihoods,Youth employment,Business,Economic Activity & Livelihoods
168,Cijele obitelji ne odlaze u inozemstvo jer su ljudi zadovoljni stanjem u Mostaru.,Whole families don't go abroad because people are satisfied with the situation in Mostar,2.0,,,2,20.7,9.3,Migration,Business,Economic Activity & Livelihoods,Political functionality,Governance,Rights & Dignity
169,Mostarski polumaraton okuplja ljude iz čitavog Mostara.,Mostar's half-marathon gathers people from all over Mostar.,1.0,,1.0,2,12.3,3.7,Activities,Sport,Culture & Society,Activities,Public space,Culture & Society
170,Humanitarna utrka „Protiv raka dojke“ okuplja ljude iz čitave regije.,"The humanitarian race ""Against Breast Cancer"" gathers people from all over the region.",1.0,1.0,,2,12.3,3.7,Activities,Sport,Culture & Society,Activities,Public space,Culture & Society
171,Studenti koji dolaze izvan Mostara traže stan bliže fakultetu na kojem studiraju.,Students who come from outside of Mostar seek apartments near the faculty where they study.,,1.0,1.0,2,19.3,1.3,School inclusivness,Education,Rights & Dignity,Social,Integration and acceptance,Culture & Society
172,Bazilika u Cimu je turistička atrakcija.,The Basilica of Cim is a tourist attraction.,1.0,,1.0,2,20.4,3.6,Tourism,Business,Economic Activity & Livelihoods,Historical cultural monuments,Public space,Culture & Society
173,Red Bull skokovi sa Starog mosta okupljaju ljude iz čitavog Mostara.,The Red Bull Diving event from the Old Bridge gathers people from all of Mostar.,,,2.0,2,20.4,,Tourism,Business,Economic Activity & Livelihoods,,,
174,"Ne opada broj djece, nego se uočava blagi rast broja djece u Mostaru.","The number of children isn't decreasing, rather, there is a slight increase in the number of children in Mostar.",,,2.0,2,15.0,,Youth,Youth,Culture & Society,,,
175,Policija piše kazne onima koji nepropisno parkiraju u Cimu.,The police write tickets for those who don't park properly in Cim,,,2.0,2,5.2,21.1,Interactions ,Police,Armed Actors,Parking,Motor Vehicles ,Culture & Society
176,"Dijete se može igrati na ulici u Cimu, bez straha da će ga udariti auto.",A kid can play on the street in Cim without fear of being hit by a car,,1.0,1.0,2,15.0,21.3,Youth,Youth,Culture & Society,Pedestrian Safety,Motor Vehicles ,Culture & Society
177,Žene se ne boje da će ih netko napasti u Mostaru.,Women aren't afraid that someone will attack them in Mostar,1.0,,1.0,2,22.3,,Safety and comfort,Gender,Culture & Society,,,
215,"Kad roditelj iz MZ Cim pokrene inicijativu da se obnovi park za djecu, ljudi iz Cima ne govore za njega da je ukrao novac.","When a parent from the MZ of Cim initiates rebuilding the park for kids, people from Cim don't say that he stole the money",,1.0,,1,6.4,6.3,Activism,Social Relations,Culture & Society,Social Trust,Social Relations,Culture & Society
216,U kafiću se ne priča uvijek o istim problemima vezanim za sport.,In cafes people don't always talk about the same problems connected to sport.,,1.0,,1,12.0,11.1,Sport,Sport,Culture & Society,Cafes and Space,Socializing,Culture & Society
217,"Ljudima u Mostaru ne smeta kad nema bagera (građevinskih radova), ni kad ima previše bagera.",People in Mostar aren't bothered when there are no excavators (construction work) nor when there are too many excavators.,1.0,,,1,3.2,17.0,Public Ownership,Public space,Culture & Society,Infrastructure,Infrastructure,Economic Activity & Livelihoods
218,"U zgradama u Mostaru nije prljavo, jer studenti ne bacaju otpatke svuda.",Buildings in Mostar aren't dirty because students don't litter everywhere,,,1.0,1,18.2,19.0,Waste prevention,Environment,Rights & Dignity,Education,Education,Rights & Dignity
219,"Kada netko počisti smeće oko svoje zgrade u Mostaru, sutra ujutro taj prostor i dalje bude čist.","When someone cleans up the trash around one's building in Mostar, the next morning that space is still clean",,,1.0,1,18.3,3.2,Environmental Restoration,Environment,Rights & Dignity,Public Ownership,Public space,Culture & Society
220,Dečko iz Cima poznaje više od polovine osoba koje žive u zgradi preko puta njegove u Mostaru.,A boy from Cim knows more than half the people who live in the building across from his in Mostar,,1.0,,1,6.12,6.3,Neighbor Relations,Social Relations,Culture & Society,Social Trust,Social Relations,Culture & Society
221,"Iz kafića u Cimu ne dolazi buka, pa ne ometa ljude koji žive u blizini.","There's no noise coming from a cafe in Cim, so it doesn't bother people who live nearby",,1.0,,1,3.0,2.0,Public space,Public space,Culture & Society,Tranquility/security ,Tranquility/security ,Security
222,U Cimu nema buke jer se više ne održava malonogometni turnir ljeti.,There's no noise in Cim because the football tournament is no longer held during the summer,,1.0,,1,12.3,2.0,Activities,Sport,Culture & Society,Tranquility/security ,Tranquility/security ,Security
223,Tijekom izolacije momak iz Cima se nije osjećao kao pas na lancu.,"During isolation, a guy from Cim didn't feel like a dog on a chain",1.0,,,1,23.1,15.0,Mental Health,Health,Rights & Dignity,Youth,Youth,Culture & Society
224,Ljudi koji posjećuju psihologa se ne smatraju ludim.,People who visit psychologist aren't thought of as crazy,,,1.0,1,23.1,23.2,Mental Health,Health,Rights & Dignity,Medical services,Health,Rights & Dignity
225,U autobusu mlađe osobe ustaju starijim osobama.,"In the bus, younger people stand up to give a seat to the elderly",1.0,,,1,6.6,21.4,Inter-generational Relations,Social Relations,Culture & Society,Public transport,Motor Vehicles ,Culture & Society
226,Žene vode svoju djece na sijela kod susjeda. u CImu,"Women take their kids to ""sijelo"" (get-together) at their neighbors in Cim",1.0,,,1,6.12,11.4,Neighbor Relations,Social Relations,Culture & Society,Informal,Socializing,Culture & Society
227,Žena zadnjih 30 godina svaki dan pije kavu sa susjedom u Cimu.,A woman drinks coffee everyday for 30 years with her neighbor in Cim,,1.0,,1,6.2,11.0,Personal relationships,Social Relations,Culture & Society,Socializing,Socializing,Culture & Society
228,Žene imaju vremena da popiju kavu sa prijateljicama.,Women have time to drink coffee with their friends,,1.0,,1,11.3,22.0,Individual Leisure,Socializing,Culture & Society,Gender,Gender,Culture & Society
229,"Žene iz Cima se bave ručnim radovima (pletu, vezu, heklaju).","Women from Cim do crafts (knit, tie, crochet)",1.0,,,1,22.4,,Gender based activities,Gender,Culture & Society,,,
