#,Indikator BHS,Indicator English,F,M,Y,T,Code 1,Code 2,Subcategory 1,Category 1,Dimension 1,Subcategory 2,Category 2,Dimension 2
63,Čovjek može otići u ambulantu ako mu je potrebno,A person can go to the health clinic when needed.,2.0,,3.0,5,23.2,,Medical services,Health,Rights & Dignity,,,
64,U Blagaju postoje saobraćanji znakovi,There are traffic signs in Blagaj.,3.0,1.0,1.0,5,21.2,17.1,Traffic,Motor Vehicles ,Culture & Society,Roads,Infrastructure,Economic Activity & Livelihoods
68,Nikad nisam imala nijedan sukob sa drugaricama različitih vjera,I've never had even one disagreement with friends of different religions.,1.0,1.0,2.0,4,1.1,6.9,Personal value,Integration and acceptance,Culture & Society,Ethno-religious identity,Social Relations,Culture & Society
69,U Blagaju ima mladih koji imaju ambicije i ciljeve,There are young people in Blagaj with ambitions and goals.,2.0,,2.0,4,15.1,,Engagement,Youth,Culture & Society,,,
70,"U ljetnom periodu, ljudi koji nisu iz Blagaja ali koji posjećuju Blagaj ne ostavljaju otpad iza sebe","In the summer period, people who are not from Blagaj but who visit Blagaj don't leave trash after themselves.",1.0,2.0,1.0,4,18.2,3.8,Waste prevention,Environment,Rights & Dignity,Condition,Public space,Culture & Society
71,Ljudi bilo koje vjere se druže zajedno.,People of whichever faith hang out with each other,2.0,1.0,1.0,4,6.9,1.3,Ethno-religious identity,Social Relations,Culture & Society,Social,Integration and acceptance,Culture & Society
72,U Blagaju postoji više NVO organizacija,In Blagaj there exists more Non-Governmental organizations,,3.0,1.0,4,9.7,,Citizens' associations,Governance,Rights & Dignity,,,
73,U Blagaju postoji više organizacija koje bi radile na sličnim projektima kao kuća na Rebru,In Blagaj there exists more organizations who would work on similar projects like the house on Rebro,,2.0,2.0,4,9.7,,Citizens' associations,Governance,Rights & Dignity,,,
74,"Kad osoba vidi gomilu smeća na nekom mjestu, ne pomisli ""Hajde bacili su i oni, bacit ću i ja.""","When someone sees a pile of trash on some place, they don't think to themselves, ""Well they threw it there, I'll throw it, too.""",1.0,1.0,2.0,4,18.2,3.2,Waste prevention,Environment,Rights & Dignity,Public Ownership,Public space,Culture & Society
75,Ljudi koji dobiju novčane kazne bi razmislili prije nego što bi opet odlagali otpad na ilegalan način,People who receive fines would think twice before dumping waste illegally again,2.0,1.0,1.0,4,18.2,4.3,Waste prevention,Environment,Rights & Dignity,Non-violent Crime,Criminality and Legal Enforcement,Rights & Dignity
76,U Blagaju postoji cesta za bicikliste,In Blagaj there exists a bicycle lane.,1.0,2.0,1.0,4,17.1,,Roads,Infrastructure,Economic Activity & Livelihoods,,,
77,Ljudi koje dolaze u Blagaj znaju da postoji put do Herceg Stjepan-grada,People who come to Blagaj know that there exists a path to Herceg Stjepan fortress,,1.0,3.0,4,17.1,10.4,Roads,Infrastructure,Economic Activity & Livelihoods,Public information,Social Programs / Social Services,Rights & Dignity
78,Postoje strijelice i putokazi koji pokazuju kako doći do Herceg Stjepan grada,The route to Herceg Stjepan fortress is marked by arrows and signposts.,1.0,3.0,,4,17.1,,Roads,Infrastructure,Economic Activity & Livelihoods,,,
79,Ceste u Blagaju su se obnavljale,Blagaj's roads have been renovated.,1.0,1.0,2.0,4,17.1,,Roads,Infrastructure,Economic Activity & Livelihoods,,,
80,Sigurnost poteče iz države,Security flows from the state.,3.0,1.0,,4,9.0,2.0,Governance,Governance,Rights & Dignity,Tranquility/security ,Tranquility/security ,Security
81,Ljudi imaju pravo glasa,People have the right to vote.,1.0,2.0,1.0,4,9.2,,Political accountability,Governance,Rights & Dignity,,,
82,Mladići iz Blagaj treniraju fudbal u Blagaju,Blagaj's young men play football in Blagaj.,,3.0,1.0,4,12.3,15.1,Activities,Sport,Culture & Society,Engagement,Youth,Culture & Society
83,U Blagaju nema navijačkih incidenata,There are no fan incidents in Blagaj.,1.0,1.0,2.0,4,12.4,4.1,Inclusion,Sport,Culture & Society,Sport & Hooliganism,Criminality and Legal Enforcement,Rights & Dignity
84,Djece se ne odgajaju da se međusobne mrze,Children are not raised to hate each other.,1.0,2.0,1.0,4,1.1,19.5,Personal value,Integration and acceptance,Culture & Society,Family-based Education,Education,Rights & Dignity
95,"Kad sretneš nekoga koga ne znaš, ako ga pozdraviš, znaš da će te pozdraviti nazad","When you meet someone you don't know, if you greet them, you know they will greet you back.",1.0,1.0,1.0,3,1.3,,Social,Integration and acceptance,Culture & Society,,,
96,"U mom komšiluku, imala sam partije sa drugim vjerama","In my neighborhood, I've had parties with people of various religions.",,3.0,,3,6.9,1.1,Ethno-religious identity,Social Relations,Culture & Society,Personal value,Integration and acceptance,Culture & Society
97,"Omladina iz Blagaja žele uspieh za sve porodice, kao i svoju porodicu","Blagaj's youth wish success for all families, just like their own.",2.0,1.0,,3,15.0,1.1,Youth,Youth,Culture & Society,Personal value,Integration and acceptance,Culture & Society
98,Mladi ljudi imaju više prilika da čuju drugu stranu priče,Young people have more opportunities to hear the other side of the story.,,3.0,,3,15.0,7.4,Youth,Youth,Culture & Society,Truth Telling,Legacies of War,Dealing with the Past
99,Eko centar Blagaj je mjesto okupljanja i posjećuje ga veliki broj gostiju,Blagaj Eco Center is a gathering spot and a significant number of guests visit it.,,1.0,2.0,3,9.7,20.4,Citizens' associations,Governance,Rights & Dignity,Tourism,Business,Economic Activity & Livelihoods
100,Kada ljudi dođu u STK i Eko centar kažu da je tu predivno,"When people come to the Sports and Tourist Klub and Eco Center, they say that there it is wonderful.",,2.0,1.0,3,9.7,3.8,Citizens' associations,Governance,Rights & Dignity,Condition,Public space,Culture & Society
101,Svim ljudima je potreban prostor za druženje,A place for socializing is important for all people.,1.0,2.0,,3,11.1,1.3,Cafes and Space,Socializing,Culture & Society,Social,Integration and acceptance,Culture & Society
102,Bošnjačka porodica iz Blagaja i katolička porodica idu jedne drugima na praznike,The Bosniak family from Blagaj and the Catholic family go to each other for holidays.,2.0,1.0,,3,14.2,6.2,Interfaith relations,Religion,Culture & Society,Personal relationships,Social Relations,Culture & Society
103,Bošnjakinja iz Blagaja pravi prijateljici Hrvatici baklavu za Božic,"For Christmas, a Bosniak woman from Blagaj makes baklava for a Croatian friend.",1.0,1.0,1.0,3,14.2,6.2,Interfaith relations,Religion,Culture & Society,Personal relationships,Social Relations,Culture & Society
104,Ružno je kad neko pita na kojoj strani Mostara neka osoba živi,It is ugly when someone asks what side of Mostar some individual lives on.,2.0,,1.0,3,6.0,7.6,Social Relations,Social Relations,Culture & Society,Intergroup,Legacies of War,Dealing with the Past
105,"Ako neko zove Bajram, a drugi zove Božić nije bitno, bitno je da ljudi slave zajedno i da se druže jer kada je to narušeno, dolazi do nemira iljudi su u strahu.","It is not important whether one names it Eid or Christmas; what is important is that people celebrate together and socialize because when that is disrupted, uneasiness and fear in people can be created.",,2.0,1.0,3,14.2,1.1,Interfaith relations,Religion,Culture & Society,Personal value,Integration and acceptance,Culture & Society
106,Prva stvar koju država treba riješiti je otpad,The first thing that the state needs to solve is trash.,,3.0,,3,18.1,10.6,Waste management Services,Environment,Rights & Dignity,Public utilities,Social Programs / Social Services,Rights & Dignity
107,U Blagaju postoje više rasvjete,In Blagaj there exists more lighting.,1.0,1.0,1.0,3,17.3,,Public Lighting,Infrastructure,Economic Activity & Livelihoods,,,
108,U Blagaju postoji sva potrebna infrastruktura,In Blagaj there exists all of the essential infrastructure.,,3.0,,3,17.0,,Infrastructure,Infrastructure,Economic Activity & Livelihoods,,,
109,Sigurnost poteče iz politike,Security comes from politics.,,3.0,,3,2.2,9.0,Confidence,Tranquility/security ,Security,Governance,Governance,Rights & Dignity
110,Policija bi trebala biti 24 sata na ulici,The police should be 24 hours on the street.,2.0,1.0,,3,5.0,,Police,Police,Armed Actors,,,
111,Policija bi trebala zaštititi sve stanovnike,The police should protect all residents.,2.0,,1.0,3,5.0,2.2,Police,Police,Armed Actors,Confidence,Tranquility/security ,Security
112,Ljudi imaju slobodu da biraju na izborima,People have the right to choose in elections,1.0,,2.0,3,9.3,,Political functionality,Governance,Rights & Dignity,,,
113,Mladi ljudi ne odlaze u inostranstvo,Young people do not go abroad.,3.0,,,3,15.0,2.2,Youth,Youth,Culture & Society,Confidence,Tranquility/security ,Security
114,Roditelji uče djecu da poštoju druge,Parents teach children to respect others.,2.0,1.0,,3,6.6,19.5,Inter-generational Relations,Social Relations,Culture & Society,Family-based Education,Education,Rights & Dignity
115,TV i ostali mediji ne potpiruju tenzije,Television and other forms of media do not contribute to the escalation of tensions.,3.0,,,3,13.0,2.2,Media,Media,Culture & Society,Confidence,Tranquility/security ,Security
131,Nema sukoba na istočnoj ili zapadnoj strani,There is no conflict on the east or the west side of town.,,,2.0,2,2.1,,Sense of safety,Tranquility/security ,Security,,,
132,U jednom okruženju osjećamo se sigurno i prihvaćeno,In one environment we feel protected and accepted.,,,2.0,2,2.2,,Confidence,Tranquility/security ,Security,,,
133,"Svi ljudi u Blagaj, iako različitih vjeroispovijesti udružuju se da bi se pokazalo da su svi ljudi dobro došli kod nas","All the people in Blagaj, even if they are of different faiths, come together to show that all people are warmly welcome in Blagaj.",,1.0,1.0,2,6.9,1.0,Ethno-religious identity,Social Relations,Culture & Society,Integration and acceptance,Integration and acceptance,Culture & Society
134,Ljudi imaju svoj identitet i nacionalno su osviješteni i to nije problem,People have their own identity and are ethnically aware and that is not a problem.,,,2.0,2,1.0,6.9,Integration and acceptance,Integration and acceptance,Culture & Society,Ethno-religious identity,Social Relations,Culture & Society
135,Nema zastava Herceg-Bosne kod Mepasa,There are no Herceg-Bosnia flags near Mepas Mall.,1.0,,1.0,2,7.1,8.5,Memorialization,Legacies of War,Dealing with the Past,Political Symbols,Nationalism,Culture & Society
136,Ljudi žele da podnesu kritiku,People want to be able to handle criticism.,1.0,1.0,,2,1.1,,Personal value,Integration and acceptance,Culture & Society,,,
137,Svim ljudima je potreban prostor za kvalitetnu komunikaciju,It is important for everyone to have a place for quality communication..,2.0,,,2,3.0,6.11,Public space,Public space,Culture & Society,Cooperation & Coexistence ,Social Relations,Culture & Society
138,Bošnjačka porodica iz Blagaja ima prijatelje Katoličke vjeroispovjesti,A Bosniak family from Blagaj has Catholic friends.,1.0,1.0,,2,6.2,6.9,Personal relationships,Social Relations,Culture & Society,Ethno-religious identity,Social Relations,Culture & Society
139,"Da se katoličke i pravoslane porodice ne osjećaju sigurnim, ne bi se poslije rata vratili u Blagaj.","If Catholic and Orthodox families did not feel safe, they would not return to Blagaj after the war.",2.0,,,2,7.2,2.2,Returns,Legacies of War,Dealing with the Past,Confidence,Tranquility/security ,Security
140,U Blajgaju nema sukoba između povratničkih porodica i mještana,There is no conflict between returnee families and locals in Blagaj,,,2.0,2,7.2,2.1,Returns,Legacies of War,Dealing with the Past,Sense of safety,Tranquility/security ,Security
141,"U Blagaju aktivno djeluju 3 vjerske institucije (muslimanska, katolička i pravoslavna)","There are 3 active religious institutions in Blagaj (Muslim, Catholic and Orthodox)",1.0,1.0,,2,14.3,1.0,Religious beliefs and practices,Religion,Culture & Society,Integration and acceptance,Integration and acceptance,Culture & Society
142,U Blagaju se mnogo radi sa turističkim potencijalom koji postoji u okolini,In Blagaj a lot is being done with the tourism potential which exists in the surrounding.,1.0,1.0,,2,20.4,,Tourism,Business,Economic Activity & Livelihoods,,,
143,Ljudi u Blagaju imaju takvo mjesto za smeće gdje lutalice ne mogu da otvaraju kese,People in Blagaj have such a space for trash where stray dogs cannot open the bags.,,,2.0,2,18.1,10.7,Waste management Services,Environment,Rights & Dignity,Animals,Social Programs / Social Services,Rights & Dignity
144,"Amputirani dijelovi tijela ne idu u isti otpad kao normalno, obično smeće","Amputated bodily parts don't go in the same trash like normal, regular trash.",,2.0,,2,18.1,23.2,Waste management Services,Environment,Rights & Dignity,Medical services,Health,Rights & Dignity
145,Blagaj ima policajca 24 sata na ulicama da prati dešavanja,Blagaj has a police officer 24-hours a day on the street to follow happenings.,,,2.0,2,5.0,2.2,Police,Police,Armed Actors,Confidence,Tranquility/security ,Security
146,"Na ulasku u Blagaj, postoji mapa sa atrakcijama koje turisti mogu da posjete","At the entrance to Blagaj, there exists a map of the attractions which tourists can visit.",1.0,,1.0,2,10.4,20.4,Public information,Social Programs / Social Services,Rights & Dignity,Tourism,Business,Economic Activity & Livelihoods
147,U Pograđu postoji park sa klackalica i ljuljačka i da se igra nogomet,"Pograđe has a park with seesaws and swings, as well as a football field.",1.0,,1.0,2,3.1,12.1,Open Spaces,Public space,Culture & Society,Facilities,Sport,Culture & Society
148,"Kad nas neko napadne na drugoj strani, grada policija treba da pohvata napadače","When someone attacks us on the other side, the city police needs to catch the attackers.",,1.0,1.0,2,5.0,2.1,Police,Police,Armed Actors,Sense of safety,Tranquility/security ,Security
149,Ko hoće da radi može zaraditi,Anyone who wants to work can earn money.,,2.0,,2,20.8,,Livelihoods,Business,Economic Activity & Livelihoods,,,
150,Postoji više klubova poput STK,There exists more clubs like the Table Tennis Club.,,2.0,,2,9.7,,Citizens' associations,Governance,Rights & Dignity,,,
151,Utakmice Veleža i Zrinjskog daju dojam da se živi u miru.,Football matches between Velež and Zrinjski convey the impression of living in harmony.,,1.0,1.0,2,12.4,6.1,Inclusion,Sport,Culture & Society,Us V Them,Social Relations,Culture & Society
152,U Osnovnoj školi u Blagaju djeca se ne uče mržnji,Children are not taught hatred at Blagaj Elementary School.,1.0,1.0,,2,7.3,19.3,Education ,Legacies of War,Dealing with the Past,School inclusivness,Education,Rights & Dignity
153,Vijesti koje objavljuju mediji nisu ratno huškačke,The news published by the media is not war-mongering,1.0,1.0,,2,13.0,6.1,Media,Media,Culture & Society,Us V Them,Social Relations,Culture & Society
185,Neće doći do sukoba ako mi prvo ne tražimo ništa / ne dajemo povod,It will not come to conflict if we first do not search for anything/ give a reason,,,1.0,1,6.0,2.0,Social Relations,Social Relations,Culture & Society,Tranquility/security ,Tranquility/security ,Security
186,Blagaj nije podijeljen na nacionalne strane,Blagaj is not divided along ethnic lines,,,1.0,1,1.3,6.9,Social,Integration and acceptance,Culture & Society,Ethno-religious identity,Social Relations,Culture & Society
187,Postoji poštovanje između osoba u Blagaju,Respect exists amongst people in Blagaj.,,,1.0,1,1.1,6.0,Personal value,Integration and acceptance,Culture & Society,Social Relations,Social Relations,Culture & Society
188,Ako mi se nešto desi u Blagaju znam da će mi svako pomoći,"I know that if something happens to me in Blagaj, everyone would help me.",,1.0,,1,6.3,,Social Trust,Social Relations,Culture & Society,,,
189,Ja se mogu jednako izraziti ovdje i negdje drugo,I am equally capable of expressing myself here as anywhere else.,1.0,,,1,2.2,6.8,Confidence,Tranquility/security ,Security,Language,Social Relations,Culture & Society
190,"Svi ljudi se udružuju u Blagaju, iako različiti su po vjeroispovijesti",All people from Blagaj unite together despite religious differences.,,1.0,,1,6.3,6.9,Social Trust,Social Relations,Culture & Society,Ethno-religious identity,Social Relations,Culture & Society
191,"U Blagaju, mladi koji imaju ambicije i ciljeve mogu da se slože",Young individuals from Blagaj with ambitions and goals can agree.,,,1.0,1,15.1,1.3,Engagement,Youth,Culture & Society,Social,Integration and acceptance,Culture & Society
192,Stariji i mladi ljudi su se okupili da očiste otpad oko Bune,Older and younger people came together to clean the trash around Buna.,,1.0,,1,6.4,18.3,Activism,Social Relations,Culture & Society,Environmental Restoration,Environment,Rights & Dignity
193,Ljudi u Blagaju ne prave požare ljeti,People in Blagaj do not start fires during summer.,,1.0,,1,18.0,3.2,Environment,Environment,Rights & Dignity,Public Ownership,Public space,Culture & Society
194,Mladi ljudi iz zapadne Hercegovine imaju priliku čuti i drugu stranu priče,Western Herzegovina's young people have the opportunity to hear the other side of the story.,,1.0,,1,7.4,15.5,Truth Telling,Legacies of War,Dealing with the Past,Inclusion,Youth,Culture & Society
195,U Abraševiću u Mostaru se može sa svima družiti i piti kafa,"You may get together with anyone and drink coffee in Abrašević, Mostar.",,1.0,,1,11.1,9.7,Cafes and Space,Socializing,Culture & Society,Citizens' associations,Governance,Rights & Dignity
196,"Ne postoje zastave drugih država u Mostaru koje zbunjuju turiste, jer ne znaju da li su još uvijek u BiH ili nekoj drugoj državi","There are no flags of other countries in Mostar, which may cause tourists to become confused as to whether they are still in Bosnia and Herzegovina or in another country.",1.0,,,1,8.5,3.3,Political Symbols,Nationalism,Culture & Society,Comfort ,Public space,Culture & Society
197,"Turistički vodiči ne govore „ovo su muslimani, ne kupujte ovdje“","Travel guides don't say ""these people are Muslim, don't shop here""",1.0,,,1,14.2,20.4,Interfaith relations,Religion,Culture & Society,Tourism,Business,Economic Activity & Livelihoods
198,Ljudi nalaze način da se izražavaju a da ne povrijede druge,People will figure out how to express themselves without causing harm to others.,,1.0,,1,6.8,1.1,Language,Social Relations,Culture & Society,Personal value,Integration and acceptance,Culture & Society
199,Mladi koji sad imaju 15-16 godina ne pričaju o ratnim dešavanjima,Young people who are now between the ages of 15 and 16 do not discuss the events of the war.,,,1.0,1,15.0,7.6,Youth,Youth,Culture & Society,Intergroup,Legacies of War,Dealing with the Past
200,Mladi ljudi imaju sadržaje kojih okupiraju i zbog toga ne razgovaraju o ratnim temama,Young people are preoccupied with other activities/happenings and because of that do not discuss war topics.,,,1.0,1,15.1,7.6,Engagement,Youth,Culture & Society,Intergroup,Legacies of War,Dealing with the Past
201,U Blagaju postoji društvene aktivnosti gdje se mogu sastati i Adnan i Marko,There are social events in Blagaj where Adnan and Marko can meet.,,1.0,,1,6.9,11.2,Ethno-religious identity,Social Relations,Culture & Society,Social,Socializing,Culture & Society
202,"Roditelji iz Blagaj ne vide razlog zašto bi neko mrzio njihovu djecu zato što nisu Katolici, Pravoslavci, itd.","Parents from Blagaj do not see a reason why someone should hate their children because they are not Catholics, Orthodox, etc.",1.0,,,1,6.9,15.2,Ethno-religious identity,Social Relations,Culture & Society,Infrastructure,Youth,Culture & Society
203,Bošnjakinja iz Blagaja bere jagode kod pravoslavca,A Bosniak woman from Blagaj picks strawberries at an Orthodox man's garden.,1.0,,,1,6.9,20.8,Ethno-religious identity,Social Relations,Culture & Society,Livelihoods,Business,Economic Activity & Livelihoods
204,Ljudi uvažavaju različitosti,People value differences.,1.0,,,1,1.3,6.3,Social,Integration and acceptance,Culture & Society,Social Trust,Social Relations,Culture & Society
205,Nakon rata se u Blagaj vratilo dosta Katoličkih i Pravoslavnih porodica,Many Catholic and Orthodox families returned to Blagaj after the war.,,1.0,,1,7.2,6.9,Returns,Legacies of War,Dealing with the Past,Ethno-religious identity,Social Relations,Culture & Society
206,Blagajac Bošnjak ima djevojku Hrvaticu.,A Bosniak from Blagaj has a Croatian girlfriend.,,1.0,,1,6.2,6.9,Personal relationships,Social Relations,Culture & Society,Ethno-religious identity,Social Relations,Culture & Society
207,Kod Blagajke koja proizvodi cvijeće i rasade kupuju sve tri vjere i nikad nije bilo sukoba na nacionalnoj osnovi*,"People of all three religions buy flowers and seedlings cultivated by a woman from Blagaj, and there has never been a national conflict.",1.0,,,1,20.1,6.9,Inclusivity,Business,Economic Activity & Livelihoods,Ethno-religious identity,Social Relations,Culture & Society
208,Poštivanje drugih i uvažavanje vjerskih različitosti je bitno*,Respect for others and respect for religious differences is essential,,1.0,,1,14.2,1.1,Interfaith relations,Religion,Culture & Society,Personal value,Integration and acceptance,Culture & Society
209,Svi ljudi različiti vjere se udruže,People of all religions gather together.,,1.0,,1,14.2,1.3,Interfaith relations,Religion,Culture & Society,Social,Integration and acceptance,Culture & Society
210,Postuje kante za otpad u Blagaju,There are trash cans in Blagaj.,1.0,,,1,18.1,10.6,Waste management Services,Environment,Rights & Dignity,Public utilities,Social Programs / Social Services,Rights & Dignity
211,Često postoje akcije prikupljanje otpada u Blagaju,There are often waste collection actions in Blagaj.,,1.0,,1,18.3,6.4,Environmental Restoration,Environment,Rights & Dignity,Activism,Social Relations,Culture & Society
212,Otpad nije najveći problem u državi,The state's biggest issue isn't waste.,,1.0,,1,18.1,9.3,Waste management Services,Environment,Rights & Dignity,Political functionality,Governance,Rights & Dignity
213,Na Tekiji u Blagaju ne stoji smeće kraj kante sedam dana,"At Tekija in Blagaj, the trash does not stay at the end of the trashcan for 7 days.",,1.0,,1,18.1,10.6,Waste management Services,Environment,Rights & Dignity,Public utilities,Social Programs / Social Services,Rights & Dignity
214,Restorani imaju dovoljno mjesta za odlaganje smeća,Restaurants have plenty of space for waste disposal.,,,1.0,1,18.1,10.6,Waste management Services,Environment,Rights & Dignity,Public utilities,Social Programs / Social Services,Rights & Dignity
215,Postoji više kontejnera za restorane u Blagaju,There are more trash cans for restaurants in Blagaj.,,1.0,,1,18.1,10.6,Waste management Services,Environment,Rights & Dignity,Public utilities,Social Programs / Social Services,Rights & Dignity
216,Ljudi ne stvaraju sami ilegalne deponije (građevinski otpad),People do not create unlawful landfills on their own (construction waste),,,1.0,1,18.2,4.3,Waste prevention,Environment,Rights & Dignity,Non-violent Crime,Criminality and Legal Enforcement,Rights & Dignity
